CityCode,RegionCode,CityName,RegionId
2478,mi ,Lexington,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2479,mi ,New Haven,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2480,mi ,Byron,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2481,mi ,Marine City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2482,mi ,Fenton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2607,mi ,Salem,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2608,mi ,Marquette,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2609,mi ,Sault Sainte Marie,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2610,mi ,University Center,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2828,mi ,Cannonsburg,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2900,mi ,Zeeland,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2961,mi ,Mulliken,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2965,mi ,Sturgis,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3018,mi ,Auburn Hills,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3066,mi ,Mcbrides,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3079,mi ,Shelby,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3080,mi ,Gaylord,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3081,mi ,Manistee,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3082,mi ,Roscommon,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3083,mi ,Houghton Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3084,mi ,Grayling,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3085,mi ,Alpena,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3086,mi ,Rogers City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3087,mi ,Onaway,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3088,mi ,Charlotte,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3089,mi ,Colon,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3090,mi ,Portland,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3091,mi ,Stockbridge,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3092,mi ,Fowlerville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3093,mi ,Hillsdale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3156,mi ,St Joseph,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3181,mi ,Troy,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3243,mi ,Rochester,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3244,mi ,Houghton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3251,mi ,Berrien Springs,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3275,mi ,Albion,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3441,mi ,Spruce,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3469,mi ,Bloomfield Hills,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3482,mi ,Waterford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3491,mi ,Plymouth,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3496,mi ,Carleton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3564,mi ,Highland Park,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2259,tas,Burnie,3FDA2832-B073-45FF-A70C-171926172589
2260,vic,Ballarat,9B998939-7B47-4288-B16E-46A59FA9E9F9
4336,mi ,Harper Woods,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4337,mi ,Okemos,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4339,mi ,Novi,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4345,mi ,Madison Heights,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4656,mi ,Redford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4657,mi ,Tecumseh,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4658,mi ,Dexter,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4659,mi ,Chelsea,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4660,mi ,Westland,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4661,mi ,Goodrich,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4662,mi ,Milan,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4663,mi ,Wixom,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4664,mi ,Marysville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4665,mi ,New Hudson,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4667,mi ,Canton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4953,mi ,Big Rapids,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4958,mi ,Dundee,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5087,mi ,Ada,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5428,mi ,Grandville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5467,mi ,Holt,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5552,mi ,Ludington,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5553,mi ,Prescott,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5555,mi ,Lewiston,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5556,mi ,Breckenridge,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5557,mi ,Scottville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5558,mi ,Harrisville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5561,mi ,North Branch,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5562,mi ,Mio,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5564,mi ,Harrison,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5565,mi ,Lincoln,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5566,mi ,Crystal,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5567,mi ,Swartz Creek,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5669,mi ,White Pigeon,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5670,mi ,Hemlock,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5675,mi ,Auburn,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5685,mi ,Escanaba,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5686,mi ,Negaunee,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5702,mi ,Vicksburg,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5703,mi ,Weidman,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5704,mi ,Spring Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
2772,tas,Ulverstone,3FDA2832-B073-45FF-A70C-171926172589
5705,mi ,Brimley,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5720,mi ,Walled Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5725,mi ,Fraser,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5728,mi ,Niles,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5741,mi ,Grosse Pointe,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6303,mi ,Keego Harbor,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6387,mi ,Dowagiac,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6390,mi ,Reed City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6391,mi ,Boyne Falls,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6436,mi ,Erie,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6539,mi ,Stevensville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6540,mi ,Buchanan,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6662,mi ,Garden City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6665,mi ,Jonesville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6667,mi ,Oak Park,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6668,mi ,Coloma,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6672,mi ,Williamston,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6673,mi ,Rosebush,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6674,mi ,Boyne City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6675,mi ,Grand Haven,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6732,mi ,Temperance,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6750,mi ,Hopkins,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6843,mi ,Hazel Park,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6844,mi ,Emmett,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6893,mi ,Mason,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6911,mi ,Flushing,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6912,mi ,Washington,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6913,mi ,Marlette,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6914,mi ,Minden City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6915,mi ,Almont,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6926,mi ,Cheboygan,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
6939,mi ,Grant,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7016,mi ,Grand Junction,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7017,mi ,Olivet,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7018,mi ,Greenville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7019,mi ,Beulah,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7020,mi ,Clarksville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7022,mi ,Bellaire,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7023,mi ,Lake Odessa,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7024,mi ,Cedar Springs,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7026,mi ,Allen Park,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7082,mi ,Manistique,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7083,mi ,Pelkie,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7084,mi ,Quinnesec,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7098,mi ,Bridgeport,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7125,mi ,South Haven,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3296,tas,Launceston,3FDA2832-B073-45FF-A70C-171926172589
7126,mi ,Three Oaks,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7264,mi ,Melvindale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7365,mi ,Springport,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7819,mi ,Portage,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7871,mi ,Eastpointe,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7909,mi ,Hudsonville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7914,mi ,Lake Orion,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7929,mi ,Utica,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
7970,mi ,Clare,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8000,mi ,Commerce Township,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8007,mi ,Dimondale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8033,mi ,Ionia,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8056,mi ,Osseo,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8156,mi ,Newaygo,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8257,mi ,Manchester,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8271,mi ,Franklin,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8291,mi ,Grand Blanc,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8295,mi ,Caledonia,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8298,mi ,Milford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3666,vic,Clayton,9B998939-7B47-4288-B16E-46A59FA9E9F9
8319,mi ,Dearborn Heights,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3716,vic,Bundoora,9B998939-7B47-4288-B16E-46A59FA9E9F9
8320,mi ,Romulus,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8336,mi ,Essexville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8456,mi ,Clarkston,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3870,vic,Hawthorn,9B998939-7B47-4288-B16E-46A59FA9E9F9
8534,mi ,Clawson,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8640,mi ,South Lyon,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
3905,vic,Braeside,9B998939-7B47-4288-B16E-46A59FA9E9F9
4005,vic,Burwood,9B998939-7B47-4288-B16E-46A59FA9E9F9
8775,mi ,Bad Axe,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
8927,mi ,Freeland,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9023,mi ,Kent City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9038,mi ,Sidney,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9130,mi ,Allegan,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9219,mi ,Baraga,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9264,mi ,Haslett,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
9277,mi ,West Bloomfield,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10041,mi ,St Louis,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10094,mi ,Caro,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10098,mi ,Bloomingdale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10104,mi ,Burton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10120,mi ,Ithaca,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10242,mi ,Saline,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10290,mi ,Ferndale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4536,vic,Bendigo,9B998939-7B47-4288-B16E-46A59FA9E9F9
10344,mi ,Pinckney,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
4606,vic,Highett,9B998939-7B47-4288-B16E-46A59FA9E9F9
4618,vic,Fitzroy,9B998939-7B47-4288-B16E-46A59FA9E9F9
10491,mi ,Grawn,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10519,mi ,Plainwell,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10656,mi ,Algonac,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
10676,mi ,Clinton,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11134,mi ,Southgate,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11135,mi ,Ecorse,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11576,mi ,Galesburg,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11864,mi ,Hancock,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11874,mi ,Lowell,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11891,mi ,Fremont,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11901,mi ,Whitehall,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11917,mi ,Cassopolis,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
11998,mi ,Middleville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13033,mi ,Pinconning,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13161,mi ,Richland,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
